state,territory_code,construction_type,rate
nd,133,fire_resistive,0.07
oh,111,frame,0.152
oh,111,masonry_joisted,0.152
oh,111,non_combustible,0.152
oh,111,masonry_non_combustible,0.052
oh,111,modified_fire_resistive,0.039
oh,111,fire_resistive,0.039
oh,112,frame,0.126
oh,112,masonry_joisted,0.126
oh,112,non_combustible,0.126
oh,112,masonry_non_combustible,0.042
oh,112,modified_fire_resistive,0.032
oh,112,fire_resistive,0.032
oh,113,frame,0.115
oh,113,masonry_joisted,0.115
oh,113,non_combustible,0.115
oh,113,masonry_non_combustible,0.039
oh,113,modified_fire_resistive,0.029
oh,113,fire_resistive,0.029
oh,123,frame,0.115
oh,123,masonry_joisted,0.115
oh,123,non_combustible,0.115
oh,123,masonry_non_combustible,0.039
oh,123,modified_fire_resistive,0.029
oh,123,fire_resistive,0.029
oh,132,frame,0.126
oh,132,masonry_joisted,0.126
oh,132,non_combustible,0.126
oh,132,masonry_non_combustible,0.042
oh,132,modified_fire_resistive,0.032
oh,132,fire_resistive,0.032
oh,143,frame,0.115
oh,143,masonry_joisted,0.115
oh,143,non_combustible,0.115
